mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
9.191664981936828e+30,1980992213.253891,263.8759856135172,7783108.627330247,2.3384352864357583e+30,0.1604961565857289,0.00044870888773720127,0.8190551345265341
9.505205715520668e+30,2004846347.9832106,262.8270619354177,7767561.984221206,2.4028046206135055e+30,0.16066747844868975,0.0004559340248862637,0.8188765875264241
9.826416185175802e+30,2028804078.2635388,261.7659750456278,7751810.308537499,2.4679568032548283e+30,0.1608399079081158,0.00046338794793775704,0.8186967041439467
1.0155388622106728e+31,2052864687.1341512,260.6933380641616,7735853.810041751,2.533867821245294e+30,0.16101183354596477,0.00047107404373913616,0.8185170924102964
1.0492213774418214e+31,2077027480.9747875,259.6081993693659,7719692.7443193775,2.600513166537513e+30,0.16118623387527997,0.00047900953200253363,0.8183347565927177
1.0836980832377435e+31,2101291791.2456934,258.5111469606999,7703327.408475793,2.667867942580911e+30,0.1613616017555717,0.0004871988632818873,0.8181511993811467
1.1189777353802338e+31,2125656926.4630136,257.4022713505518,7686758.130859746,2.7359057682812065e+30,0.16153789501633237,0.0004956511314830932,0.8179664538521847
1.1550689189641473e+31,2150122195.5243535,256.2816674783217,7669985.273762557,2.8045993412437307e+30,0.16171507155047787,0.0005043758244824575,0.8177805526250399
1.1919800409811866e+31,2174686907.639611,255.14943474923476,7653009.230786098,2.873920467715523e+30,0.16189308936235272,0.0005133828448475107,0.8175935277928
1.2297193229362355e+31,2199350372.267095,254.005676809251,7635830.424018094,2.9438400947896374e+30,0.16207190741586386,0.0005226825345070466,0.8174054100496293
1.2682947935028777e+31,2224111900.0425863,252.85048113952706,7618449.3011404965,3.014328368472961e+30,0.16225154752900123,0.0005322859033577631,0.8172161665676413
1.307714281225072e+31,2248970832.701866,251.68334480876186,7600866.335933149,3.0853553903508354e+30,0.16243384064527197,0.0005422105574730763,0.8170239487972552
1.3479854072715034e+31,2273926480.206944,250.50564975845634,7583082.01418369,3.1568897762084645e+30,0.16261491449482682,0.0005524554958720231,0.8168326300093013
1.3891155782496696e+31,2298978120.945721,249.31688841259887,7565096.853425326,3.2288986547084163e+30,0.16279663245037537,0.0005630393566121432,0.8166403281930126
1.4311119790863856e+31,2324125064.5350003,248.11718544576644,7546911.42424314,3.301349227483982e+30,0.16297895702787293,0.0005739750260478953,0.8164470679460792
1.4739815659816854e+31,2349366620.4828,246.90666913535202,7528526.337874807,3.374208070557011e+30,0.16316185202281938,0.0005852759765932116,0.8162528720005875
1.5177310594427924e+31,2374702099.200343,245.68545107123626,7509942.270516756,3.4474412045484365e+30,0.1633453434470877,0.0005969565059490148,0.8160577000469633
1.5623669374050746e+31,2400130850.4763737,244.45291702404035,7491159.962868329,3.5210150702826957e+30,0.16353174122602773,0.0006090401419487663,0.8158592186320236
1.6078954284468196e+31,2425652184.07679,243.2107294060318,7472180.175454268,3.594894692688172e+30,0.1637162541999417,0.0006215245714358998,0.8156622212286224
1.6543225051044253e+31,2451265369.6176257,241.9582726314999,7453003.688428585,3.669043676804976e+30,0.16390121161392393,0.0006344346294620252,0.8154643537566142
1.7016538772950622e+31,2476969716.2961364,240.6956915476792,7433631.313311388,3.7434261951015074e+30,0.16408658694935724,0.0006477872173012349,0.8152656258333417
1.7498949858531106e+31,2502764533.164901,239.42313449444322,7414063.880772946,3.8180060919258714e+30,0.1642723565636735,0.000661600053175562,0.8150660433831509
